9584389	225
8988361	242
8426909	265
7884521	296
7350562	337
6869930	388
6375337	397
5932261	416
5485313	488
5039609	484
4602641	538
4177000	554
3769417	593
3353608	584
2952080	610
2564005	625
2202724	648
1864201	656
1563458	637
1307650	650
1104346	657
968256	612
904378	585
921674	576
1028893	585
1241357	554
1546178	505
1960264	500
2471760	468
3078770	452
3792290	394
4584290	377
5435986	320
6368858	292
7353305	265
8332586	257
9358164	226
10359450	178
11324210	169
12263401	149
13115314	128
13878196	117
14540650	97
15099498	85
15513650	81
15825713	68
15957946	73
15981620	61
15848842	61
15549553	65
15140461	68
14631530	64
13961792	65
13220836	73
12405869	80
11528245	85
10604434	85
9645826	89
8676425	90
7742249	104
6787496	100
5896228	101
5038882	109
4237712	97
3536213	89
2875330	98
2291906	85
1797242	89
1376392	90
1026632	85
750193	81
533377	65
378437	68
272434	65
207409	61
174554	50
170260	45
182585	40
207076	37
243725	37
275810	29
304025	34
330290	32
343485	34
353450	29
349057	25
336442	26
317421	29
291924	25
260420	32
223925	34
192818	40
155912	36
127125	37
99152	40
74306	34
56250	41
43481	41
37474	45
35957	53
38981	49
45205	50
52553	53
62180	65
69556	61
79213	61
86816	65
88349	73
88978	65
87545	64
81281	65
75073	73
66916	65
57445	74
49757	72
43156	74
39005	65
39349	73
44980	65
57338	64
72882	50
97344	53
126440	45
163154	34
205445	41
250037	32
301648	25
354933	20
406810	17
461188	10
512665	9
555669	4
598274	1
630760	2
658762	0
677801	1
685508	1
682058	5
675737	5
657049	8
633681	13
599554	13
559997	20
519490	17
469625	26
422909	25
370817	25
324433	37
275069	26
231845	29
195962	34
158629	34
129746	34
106730	32
89044	32
72692	25
64532	25
59449	25
58196	20
56825	20
61081	20
64549	20
70613	13
73940	13
77285	13
76738	13
14252545	169
14625482	234
14763545	325
14555097	424
13992221	520
13102105	613
11838058	709
10350221	820
8655796	905
6841424	970
5067970	1093
3423940	1138
2032592	1130
956666	1165
275929	1160
16010	1109
175474	1073
712528	985
1565929	949
2648221	850
3818557	730
4987085	650
6018058	533
6817145	442
7300138	356
7442125	269
7207361	221
6622613	162
5756413	128
4680657	98
3542450	85
2463397	85
1577890	100
1029197	113
926069	128
1338937	145
2340601	149
3921796	180
6044560	185
8666884	200
11643994	196
14836680	205
18106292	205
21271300	202
24161002	202
26670109	205
28589716	173
29901625	197
30526288	194
30364552	185
29552002	181
28108417	205
26053354	205
23612978	226
20863981	212
17965445	218
14998985	221
12139970	225
9468520	232
7115140	234
5078785	225
3429266	234
2147170	221
1234885	208
677205	181
384929	185
311720	146
403624	153
594610	122
821061	122
1047124	109
1232557	80
1361984	74
1411829	72
1387370	52
1293365	45
1148717	40
974066	37
768640	37
585209	29
409364	29
263133	25
154125	25
78292	29
42121	26
34085	25
49205	26
77690	29
113018	34
145490	32
173633	34
192265	40
195170	50
191552	50
181145	53
157922	52
139445	61
121034	74
110034	73
103765	68
107860	81
119464	85
135013	80
156020	89
173906	98
197825	89
215360	97
221409	104
222650	100
219565	104
206405	97
190600	89
170834	85
151121	85
135941	80
123170	73
115645	65
116068	64
124576	50
140456	53
159493	45
187513	34
218522	32
250969	25
288041	13
322501	10
360200	4
397610	4
435725	1
474244	0
512821	0
548426	2
585680	2
620381	5
656405	10
685649	10
709618	17
724690	16
734978	16
732258	17
722693	17
697289	17
657365	13
615565	13
557401	13
498760	8
432640	8
367434	5
301085	5
244570	5
195593	4
148553	9
115333	9
89973	16
73993	16
61745	26
56180	26
54881	40
54484	45
53860	52
52754	50
49865	50
45802	52
38917	45
28649	45
18801	40
13932557	178
12853810	290
11693128	416
10483796	565
9333833	680
8316113	800
7418596	965
6692065	1044
6067048	1138
5480813	1226
4893085	1181
4253330	1210
3538336	1156
2726530	1076
1885801	1013
1090970	949
447253	872
71080	776
71282	725
529448	641
1462388	577
2855581	530
4587525	493
6513905	477
8419240	425
10096101	370
11309512	346
11881522	313
11721553	244
10781114	208
9182617	157
7086141	97
4789780	73
2624625	45
937690	41
67076	50
282850	61
1758445	98
4536965	145
8549917	170
13581773	221
19259668	260
25208840	293
30958756	325
36037033	346
40129101	346
42823305	373
43995250	401
43613765	386
41620405	410
38376400	425
34126900	464
29157076	445
23954578	457
18838376	424
14124545	450
10011178	424
6697525	386
4211213	324
2556010	281
1593793	218
1211866	181
1219490	130
1465760	97
1811610	53
2097058	37
2254354	20
2277673	13
2139290	18
1867469	32
1518800	61
1136506	80
784340	109
489229	122
281465	125
162605	157
133058	162
172945	157
251125	178
357161	170
449021	169
516625	164
557050	149
553172	153
525925	145
465896	137
392569	130
317993	117
244368	90
180949	81
127858	85
91737	65
62504	61
44861	41
31040	34
21456	29
16241	26
14045	16
15977	16
21866	16
30098	25
40820	26
52625	26
63730	40
69200	52
74484	50
74434	61
64800	65
55117	68
41050	82
27245	82
15650	85
6845	97
2050	89
565	98
1009	100
2466	106
4145	109
5140	101
7650	101
15129	109
32170	106
62240	98
113621	89
192497	68
297245	64
434689	45
599085	41
775298	40
966241	37
1153898	41
1315898	45
1451050	49
1539488	73
1582082	85
1568465	89
1497505	109
1378093	121
1228617	109
1050724	117
865021	100
683693	90
505513	81
361600	58
238996	41
151834	26
88829	29
52021	34
32996	37
27365	58
30500	85
33961	106
36965	125
38317	145
36945	137
33633	149
31761	145
31509	125
32482	85
35209	64
40165	53
46685	20
53698	8
56178	2
55120	1
48617	9
15210637	260
11114132	370
7571088	449
5109490	544
4109305	613
4577360	697
6129769	745
8252705	776
10246457	820
11501525	904
11636593	965
10586621	1060
8575300	1082
6016365	1156
3553128	1213
1696745	1252
855440	1165
1166105	1105
2484610	1060
4441000	901
6491466	745
8184724	578
9105748	442
9138265	337
8329282	250
7006185	170
5590825	136
4422544	146
3818557	146
3818953	180
4298717	208
4929556	221
5314052	221
5152717	193
4308617	169
2878577	148
1325332	101
267266	64
446441	49
2548049	37
7003945	53
13870445	73
22778825	104
32903316	169
43166201	205
52367764	289
59258432	338
63014425	405
63152820	445
59571605	509
53005012	610
44266050	656
34409129	689
24701561	729
16097069	776
9295074	808
4597024	801
2045777	725
1236274	680
1662817	565
2682065	481
3786917	389
4531509	265
4732226	178
4392026	100
3588938	45
2563210	17
1575625	16
792805	41
325832	85
193986	148
321610	193
599789	269
887410	325
1080685	362
1124345	410
1011620	421
788114	424
499922	409
254500	425
89021	377
36413	377
99346	340
241370	298
424265	260
586709	244
697393	185
734450	170
694345	125
597853	85
463913	58
335738	36
214180	13
129440	5
67636	5
39469	13
24361	25
17749	50
11521	73
4673	100
290	136
2440	178
14578	200
36788	205
65165	200
99124	205
127513	200
138445	173
139016	157
122833	113
96010	80
68405	37
41242	16
23668	4
15481	4
14804	17
17693	49
21410	90
22050	149
21349	185
25181	250
40265	289
75458	292
142409	317
246313	306
385666	293
563924	281
766189	265
972145	261
1176170	257
1360609	250
1501714	260
1596968	325
1636325	325
1632482	365
1571461	388
1466884	401
1318837	410
1155976	394
973426	320
786029	290
612130	232
441649	181
304690	153
191810	130
115645	145
65482	148
44320	160
39328	181
47737	205
62730	197
72833	185
78761	170
79489	130
75668	116
69026	64
64090	37
63904	13
63874	1
65925	5
67213	16
66053	37
61345	58
51140	74
34037	74
17397	73
15110856	397
13097417	577
10883645	689
8664644	785
6775249	845
5463725	821
4868338	757
5072465	701
5905517	685
7031897	677
8051328	730
8562061	850
8290769	1010
7110701	1193
5329337	1300
3383033	1405
1895237	1402
1460034	1352
2422660	1192
4777700	1025
8087665	820
11629405	610
14467833	424
15891242	296
15400226	185
13110610	136
9621701	125
5771088	116
2632968	160
964730	194
1106386	218
2795306	250
5231417	265
7407770	260
8392905	221
7615700	200
5321377	145
2394593	90
290285	34
625645	10
4747405	13
13250305	50
25725136	117
40797220	194
